Date;Time;Flow - Air Parameterstatus
Jun 2, 2023;8:36:23 AM;1
Jun 2, 2023;8:40:08 AM;0
Jun 2, 2023;8:40:24 AM;1
Jun 2, 2023;8:40:36 AM;0
Jul 5, 2023;7:08:36 PM;1
Jul 6, 2023;1:20:42 PM;0
Jul 6, 2023;1:20:47 PM;1
Jul 6, 2023;1:20:47 PM;0
Jul 6, 2023;1:20:54 PM;1
Jul 11, 2023;5:33:08 PM;0
Jul 11, 2023;5:33:54 PM;1
Jul 11, 2023;5:34:09 PM;0
Jul 11, 2023;10:54:22 PM;1
Jul 12, 2023;8:44:49 AM;0
Jul 12, 2023;9:09:01 AM;1
Jul 12, 2023;11:27:32 AM;0
Jul 12, 2023;11:48:34 AM;1
Jul 12, 2023;1:19:55 PM;0
Jul 12, 2023;2:28:33 PM;1
Jul 12, 2023;2:30:32 PM;0
Jul 12, 2023;2:36:50 PM;1
Jul 12, 2023;3:54:35 PM;0
Jul 12, 2023;3:57:48 PM;1
Jul 12, 2023;4:06:52 PM;0
Jul 12, 2023;5:08:38 PM;1
Jul 12, 2023;6:04:04 PM;0
Jul 12, 2023;6:04:37 PM;1
Jul 12, 2023;6:29:37 PM;0
Jul 12, 2023;7:12:51 PM;1
Jul 13, 2023;8:13:11 AM;0
Jul 13, 2023;8:13:12 AM;1
Jul 13, 2023;8:14:47 AM;0
Jul 13, 2023;8:14:48 AM;1
Jul 14, 2023;7:54:36 AM;0
