Time [h];Glucose [g/L];Glycerol [g/L];Lactic acid [g/L];Acetic acid [g/L];Ethanol [g/L]
0,20;5,22;0,17;0,04;0,01;0,08
2,10;5,18;0,16;0,03;0,03;0,10
2,30;5,20;0,12;0,04;0,00;0,33
3,40;4,69;0,14;0,04;0,01;0,36
4,40;4,23;0,19;0,04;0,02;0,15
5,35;3,48;0,21;0,04;0,06;0,15
6,35;2,88;0,28;0,04;0,12;0,13
7,30;2,02;0,38;0,01;0,23;0,14
8,30;1,57;0,47;0,00;0,34;0,10
9,30;1,04;0,43;0,00;0,39;0,16
21,30;28,10;1,49;0,00;1,88;0,06
23,30;34,85;1,45;0,00;2,08;0,05
24,30;39,63;1,49;0,00;2,16;0,03
26,30;47,38;1,43;0,00;2,18;0,03
27,30;52,49;1,39;0,00;2,12;0,15
27,90;56,67;1,21;0,00;1,86;0,20
28,30;59,78;0,94;0,00;1,49;0,07
30,50;68,22;0,16;0,05;0,36;0,04
31,50;70,64;0,04;0,04;0,01;0,12
