Time [h],Glucose [g/L],Glycerol [g/L],Lactic acid [g/L],Acetic acid [g/L],Ethanol [g/L]
0.2,5.22,0.167,0.037,0.007,0.079
2.1,5.176,0.16,0.027,0.033,0.104
2.3,5.198,0.118,0.04,0.002,0.334
3.4,4.685,0.141,0.041,0.006,0.357
4.4,4.23,0.187,0.044,0.024,0.148
5.35,3.48,0.21,0.041,0.058,0.146
6.35,2.881,0.276,0.043,0.122,0.128
7.3,2.018,0.381,0.005,0.23,0.141
8.3,1.567,0.467,0.003,0.339,0.1
9.3,1.041,0.429,0.003,0.39,0.156
21.3,28.102,1.489,0.0,1.883,0.058
23.3,34.85,1.45,0.0,2.078,0.048
24.3,39.628,1.49,0.0,2.157,0.031
26.3,47.378,1.431,0.0,2.182,0.025
27.3,52.491,1.394,0.0,2.115,0.153
27.9,56.665,1.214,0.0,1.859,0.204
28.3,59.778,0.938,0.0,1.49,0.069
30.5,68.22,0.163,0.05,0.355,0.041
31.5,70.64,0.038,0.044,0.012,0.122
42.0,,,,,
