name;min;lowCritical;lowAlarm;highAlarm;max;alarmsEnabled;proportionalTerm;integralTerm;differentialTerm;deadBand;integralLimit;evaluationTime
Feed 2;0.0;0.0;0.0;0.0;100.0;false;1.0;1.0;1.0;0.0;20.0;1
Flow - Mix;0.0;0.0;0.0;0.0;100.0;false;1.0;1.0;1.0;0.0;20.0;1
Flow - H?;0.0;0.0;0.0;0.0;100.0;false;1.0;1.0;1.0;0.0;20.0;1
Redox;-1500.0;0.0;0.0;0.0;1500.0;false;1.0;1.0;1.0;0.0;20.0;1
Levelsensor;0.0;0.0;0.0;0.0;11.0;false;1.0;1.0;1.0;0.0;20.0;1
Temperature;0.0;0.0;5.0;85.0;85.0;true;10.0;0.05;0.01;0.1;1.0;5
Flow - Air;0.2;0.0;0.0;0.0;20.0;false;1.0;1.0;1.0;0.0;20.0;1
pO?;0.0;0.0;0.0;0.0;200.0;false;1.0;1.0;1.0;0.0;20.0;1
Flow - CO?;0.2;0.0;0.0;0.0;20.0;false;1.0;1.0;1.0;0.0;20.0;1
Feed 1;0.0;0.0;0.0;0.0;100.0;false;1.0;1.0;1.0;0.0;20.0;1
pH;0.0;0.0;0.0;0.0;14.0;false;10.0;5.0;1.0;0.05;20.0;5
Stirrer;0.0;0.0;0.0;0.0;1800.0;false;1.0;1.0;1.0;0.0;20.0;1
