Date;Time;Feed 1 Parameterstatus
May 26, 2023;10:58:21 AM;0
May 26, 2023;10:58:37 AM;1
May 26, 2023;10:58:47 AM;0
May 30, 2023;4:33:47 PM;1
May 30, 2023;4:35:57 PM;0
May 30, 2023;4:36:51 PM;1
May 30, 2023;4:38:53 PM;0
May 30, 2023;4:40:04 PM;1
May 30, 2023;4:42:06 PM;0
May 30, 2023;4:43:20 PM;1
May 30, 2023;4:45:22 PM;0
May 30, 2023;4:47:43 PM;1
May 30, 2023;4:52:54 PM;0
May 31, 2023;9:43:50 AM;1
May 31, 2023;9:44:22 AM;0
May 31, 2023;5:23:40 PM;1
May 31, 2023;5:25:05 PM;0
May 31, 2023;5:25:22 PM;1
May 31, 2023;5:25:32 PM;0
May 31, 2023;5:25:34 PM;1
May 31, 2023;5:25:37 PM;0
May 31, 2023;5:25:41 PM;1
May 31, 2023;5:25:46 PM;0
May 31, 2023;5:25:47 PM;1
May 31, 2023;5:25:48 PM;0
May 31, 2023;8:10:08 PM;1
Jun 2, 2023;8:05:43 AM;0
