,mu,qs,mu_max,X_max,Ks,Ks_qs,Ki,Yxs,qs_max,m_s,lag,rmse
0,0,0,0.2,19.2,7.0,0.035,7.15,0.4857,0.57,0.1,0.0057,39.211
1,0,1,0.2,19.2,7.0,0.035,7.15,0.4857,0.57,0.1,0.0057,48.664
2,0,2,0.2,19.2,7.0,0.035,7.15,0.4857,0.57,0.1,0.0057,439.654
3,0,3,0.2,19.2,7.0,0.035,7.15,0.4857,0.57,0.1,0.0057,39.639
4,1,0,0.2,19.2,7.0,0.035,7.15,0.4857,0.57,0.1,0.0057,27.45
5,1,1,0.2,19.2,7.0,0.035,7.15,0.4857,0.57,0.1,0.0057,27.397
6,1,2,0.2,19.2,7.0,0.035,7.15,0.4857,0.57,0.1,0.0057,13.745
7,1,3,0.2,19.2,7.0,0.035,7.15,0.4857,0.57,0.1,0.0057,27.463
8,2,0,0.2,19.2,7.0,0.035,7.15,0.4857,0.57,0.1,0.0057,27.061
9,2,1,0.2,19.2,7.0,0.035,7.15,0.4857,0.57,0.1,0.0057,21.185
10,2,2,0.2,19.2,7.0,0.035,7.15,0.4857,0.57,0.1,0.0057,13.052
11,2,3,0.2,19.2,7.0,0.035,7.15,0.4857,0.57,0.1,0.0057,26.788
12,3,0,0.2,19.2,7.0,0.035,7.15,0.4857,0.57,0.1,0.0057,22.114
13,3,1,0.2,19.2,7.0,0.035,7.15,0.4857,0.57,0.1,0.0057,18.451
14,3,2,0.2,19.2,7.0,0.035,7.15,0.4857,0.57,0.1,0.0057,13.53
15,3,3,0.2,19.2,7.0,0.035,7.15,0.4857,0.57,0.1,0.0057,21.341
