Date;Time;Flow - Air Output
May 26, 2023;10:58:21 AM;0,00
May 30, 2023;11:36:33 AM;0,00
May 30, 2023;1:36:50 PM;1,70
May 30, 2023;5:04:25 PM;0,00
May 30, 2023;5:51:47 PM;1,00
May 30, 2023;6:23:49 PM;2,00
May 30, 2023;6:31:14 PM;1,00
May 31, 2023;9:34:33 AM;1,00
May 31, 2023;10:11:54 AM;0,00
May 31, 2023;10:14:15 AM;1,00
May 31, 2023;10:14:24 AM;1,00
May 31, 2023;10:17:30 AM;1,00
May 31, 2023;1:13:01 PM;1,00
May 31, 2023;1:13:07 PM;0,00
May 31, 2023;1:13:12 PM;0,00
May 31, 2023;1:13:17 PM;0,00
May 31, 2023;1:13:23 PM;0,00
May 31, 2023;1:13:28 PM;0,00
May 31, 2023;1:13:33 PM;0,00
May 31, 2023;1:13:38 PM;0,00
May 31, 2023;1:13:43 PM;0,00
May 31, 2023;1:13:48 PM;0,00
May 31, 2023;1:13:53 PM;0,00
May 31, 2023;1:13:58 PM;0,00
May 31, 2023;1:14:21 PM;0,00
May 31, 2023;1:16:31 PM;0,00
May 31, 2023;1:17:25 PM;0,00
May 31, 2023;1:22:35 PM;0,00
May 31, 2023;1:28:17 PM;0,00
May 31, 2023;1:28:32 PM;1,00
May 31, 2023;5:12:54 PM;1,00
May 31, 2023;5:14:29 PM;1,00
May 31, 2023;8:03:54 PM;1,00
Jun 1, 2023;11:59:25 AM;1,00
Jun 1, 2023;12:05:24 PM;1,00
Jun 1, 2023;12:24:39 PM;1,00
Jun 1, 2023;12:26:22 PM;1,00
Jun 1, 2023;3:22:02 PM;1,10
Jun 1, 2023;3:27:47 PM;1,20
Jun 1, 2023;3:27:52 PM;1,30
Jun 1, 2023;3:27:57 PM;1,40
Jun 1, 2023;3:28:02 PM;1,50
Jun 1, 2023;3:28:12 PM;1,70
Jun 1, 2023;3:49:43 PM;1,80
Jun 1, 2023;3:49:48 PM;1,90
Jun 1, 2023;3:49:53 PM;2,00
