Date;Time;Flow - Mix Output
May 26, 2023;10:58:21 AM;0,00
May 30, 2023;11:36:33 AM;0,00
May 30, 2023;5:04:25 PM;0,00
May 31, 2023;9:34:33 AM;0,00
May 31, 2023;10:14:24 AM;0,00
May 31, 2023;10:17:31 AM;0,00
May 31, 2023;1:13:01 PM;0,00
May 31, 2023;1:14:00 PM;0,00
May 31, 2023;1:14:21 PM;0,00
May 31, 2023;1:16:32 PM;0,00
May 31, 2023;1:17:25 PM;0,00
May 31, 2023;1:22:35 PM;0,00
May 31, 2023;1:28:17 PM;0,00
May 31, 2023;5:12:55 PM;0,00
May 31, 2023;5:14:30 PM;0,00
May 31, 2023;8:03:54 PM;0,00
Jun 1, 2023;11:59:26 AM;0,00
Jun 1, 2023;12:05:25 PM;0,00
Jun 1, 2023;12:24:40 PM;0,00
Jun 1, 2023;12:26:22 PM;0,00
