Date;Time;Flow - Air Setpoint
May 26, 2023;10:58:21 AM;1,70
May 30, 2023;5:51:43 PM;1,00
May 30, 2023;6:23:17 PM;20,00
May 30, 2023;6:23:47 PM;2,00
May 30, 2023;6:31:14 PM;1,00
May 31, 2023;1:13:02 PM;0,00
May 31, 2023;1:13:12 PM;0,00
May 31, 2023;1:13:22 PM;0,00
May 31, 2023;1:13:32 PM;0,00
May 31, 2023;1:13:42 PM;0,00
May 31, 2023;1:13:53 PM;0,00
May 31, 2023;1:28:31 PM;1,00
Jun 1, 2023;3:22:02 PM;1,10
Jun 1, 2023;3:27:47 PM;1,20
Jun 1, 2023;3:27:57 PM;1,40
Jun 1, 2023;3:28:07 PM;1,60
Jun 1, 2023;3:49:43 PM;1,80
Jun 1, 2023;3:49:53 PM;2,00
